t,Value,Expiry
42664.00,56.05,43544.00
42667.00,56.22,43544.00
42668.00,55.89,43544.00
42669.00,55.1,43544.00
42670.00,55.16,43544.00
42671.00,54.5,43544.00
42674.00,53.06,43544.00
42675.00,52.99,43544.00
42676.00,52.24,43544.00
42677.00,51.75,43544.00
42678.00,51.24,43544.00
42681.00,51.87,43544.00
42682.00,52.11,43544.00
42683.00,52.68,43544.00
42684.00,52.36,43544.00
42685.00,51.19,43544.00
42688.00,50.54,43544.00
42689.00,52.02,43544.00
42690.00,51.69,43544.00
42691.00,51.91,43544.00
42692.00,52.17,43544.00
42695.00,53.6,43544.00
42696.00,53.74,43544.00
42697.00,53.61,43544.00
42699.00,52.11,43544.00
42702.00,52.93,43544.00
42703.00,51.36,43544.00
42704.00,53.85,43544.00
42705.00,54,43544.00
42706.00,54.83,43544.00
42709.00,55.34,43544.00
42710.00,54.78,43544.00
42711.00,54.17,43544.00
42712.00,54.51,43544.00
42713.00,54.83,43544.00
42716.00,54.77,43544.00
42717.00,55.13,43544.00
42718.00,54.17,43544.00
42719.00,54.11,43544.00
42720.00,54.63,43544.00
42723.00,54.8,43544.00
42724.00,55.41,43544.00
42725.00,54.79,43544.00
42726.00,55.09,43544.00
42727.00,55.34,43544.00
42731.00,55.94,43544.00
42732.00,56.11,43544.00
42733.00,56.15,43544.00
42734.00,56.13,43544.00
42738.00,55.28,43544.00
42739.00,56.41,43544.00
42740.00,56.88,43544.00
42741.00,57.06,43544.00
42744.00,55.92,43544.00
42745.00,55.37,43544.00
42746.00,56.35,43544.00
42747.00,56.85,43544.00
42748.00,56.19,43544.00
42752.00,55.83,43544.00
42753.00,54.92,43544.00
42754.00,55.07,43544.00
42755.00,56,43544.00
42758.00,55.67,43544.00
42759.00,55.83,43544.00
42760.00,55.45,43544.00
42761.00,56.09,43544.00
42762.00,55.37,43544.00
42765.00,55.23,43544.00
42766.00,55.33,43544.00
42767.00,55.94,43544.00
42768.00,55.71,43544.00
42769.00,56.13,43544.00
42772.00,55.65,43544.00
42773.00,54.83,43544.00
42774.00,54.86,43544.00
42775.00,55.18,43544.00
42776.00,55.63,43544.00
42779.00,54.93,43544.00
42780.00,54.95,43544.00
42781.00,54.54,43544.00
42782.00,54.3,43544.00
42783.00,54.17,43544.00
42787.00,53.85,43544.00
42788.00,53.43,43544.00
42789.00,53.9,43544.00
42790.00,53.63,43544.00
42793.00,53.95,43544.00
42794.00,54.44,43544.00
42795.00,54.29,43544.00
42796.00,53.71,43544.00
42797.00,54.13,43544.00
42800.00,54.23,43544.00
42801.00,54.1,43544.00
42802.00,51.95,43544.00
42803.00,51.15,43544.00
42804.00,50.29,43544.00
42807.00,50.47,43544.00
42808.00,50,43544.00
42809.00,50.29,43544.00
42810.00,49.97,43544.00
42811.00,49.94,43544.00
42814.00,49.87,43544.00
42815.00,49.73,43544.00
42816.00,49.9,43544.00
42817.00,49.65,43544.00
42818.00,49.83,43544.00
42821.00,49.88,43544.00
42822.00,49.93,43544.00
42823.00,50.41,43544.00
42824.00,51.07,43544.00
42825.00,51.39,43544.00
42828.00,51.58,43544.00
42829.00,52.11,43544.00
42830.00,52.15,43544.00
42831.00,52.48,43544.00
42832.00,52.75,43544.00
42835.00,53.42,43544.00
42836.00,53.74,43544.00
42837.00,53.86,43544.00
42838.00,53.9,43544.00
42842.00,53.62,43544.00
42843.00,53.38,43544.00
42844.00,51.81,43544.00
42845.00,51.74,43544.00
42846.00,51.25,43544.00
42849.00,50.82,43544.00
42850.00,50.74,43544.00
42851.00,50.69,43544.00
42852.00,50.02,43544.00
42853.00,50.21,43544.00
42856.00,49.91,43544.00
42857.00,48.9,43544.00
42858.00,49.17,43544.00
42859.00,47.65,43544.00
42860.00,48.62,43544.00
42863.00,48.94,43544.00
42864.00,48.5,43544.00
42865.00,49.47,43544.00
42866.00,49.74,43544.00
42867.00,49.39,43544.00
42870.00,49.7,43544.00
42871.00,49.88,43544.00
42872.00,50.1,43544.00
42873.00,50.16,43544.00
42874.00,50.89,43544.00
42877.00,51.22,43544.00
42878.00,51.26,43544.00
42879.00,50.93,43544.00
42880.00,49.23,43544.00
42881.00,49.96,43544.00
42885.00,50.04,43544.00
42886.00,48.83,43544.00
42887.00,48.86,43544.00
42888.00,48.39,43544.00
42891.00,48.34,43544.00
42892.00,48.53,43544.00
42893.00,47.36,43544.00
42894.00,47.96,43544.00
42895.00,48.06,43544.00
42898.00,48.18,43544.00
42899.00,48.41,43544.00
42900.00,47.46,43544.00
42901.00,47.74,43544.00
42902.00,47.99,43544.00
42905.00,47.64,43544.00
42906.00,47.14,43544.00
42907.00,46.46,43544.00
42908.00,46.56,43544.00
42909.00,46.61,43544.00
42912.00,46.8,43544.00
42913.00,47.53,43544.00
42914.00,47.98,43544.00
42915.00,48.28,43544.00
42916.00,49.19,43544.00
42919.00,50.12,43544.00
42921.00,48.68,43544.00
42922.00,48.78,43544.00
42923.00,47.67,43544.00
42926.00,48.12,43544.00
42927.00,48.58,43544.00
42928.00,48.48,43544.00
42929.00,48.84,43544.00
42930.00,49.28,43544.00
42933.00,48.99,43544.00
42934.00,49.03,43544.00
42935.00,49.51,43544.00
42936.00,49.11,43544.00
42937.00,48.21,43544.00
42940.00,48.66,43544.00
42941.00,49.63,43544.00
42942.00,49.94,43544.00
42943.00,49.96,43544.00
42944.00,50.09,43544.00
42947.00,50.59,43544.00
42948.00,50.02,43544.00
42949.00,50.25,43544.00
42950.00,49.83,43544.00
42951.00,50.27,43544.00
42954.00,50.23,43544.00
42955.00,49.95,43544.00
42956.00,50.16,43544.00
42957.00,49.18,43544.00
42958.00,49.28,43544.00
42961.00,48.47,43544.00
42962.00,48.46,43544.00
42963.00,48,43544.00
42964.00,48.15,43544.00
42965.00,49.41,43544.00
42968.00,48.33,43544.00
42969.00,48.99,43544.00
42970.00,49.52,43544.00
42971.00,48.93,43544.00
42972.00,49.25,43544.00
42975.00,48.59,43544.00
42976.00,49.06,43544.00
42977.00,48.57,43544.00
42978.00,50.22,43544.00
42979.00,50.33,43544.00
42983.00,50.71,43544.00
42984.00,50.91,43544.00
42985.00,50.96,43544.00
42986.00,50.09,43544.00
42989.00,50.36,43544.00
42990.00,50.39,43544.00
42991.00,50.8,43544.00
42992.00,51.15,43544.00
42993.00,51.34,43544.00
42996.00,51,43544.00
42997.00,50.74,43544.00
42998.00,51.09,43544.00
42999.00,51.15,43544.00
43000.00,51.21,43544.00
43003.00,51.7,43544.00
43004.00,51.6,43544.00
43005.00,51.65,43544.00
43006.00,51.15,43544.00
43007.00,51.16,43544.00
43010.00,50.42,43544.00
43011.00,50.34,43544.00
43012.00,50.36,43544.00
43013.00,51.05,43544.00
43014.00,49.98,43544.00
43017.00,50.24,43544.00
43018.00,50.95,43544.00
43019.00,51.26,43544.00
43020.00,50.86,43544.00
43021.00,51.31,43544.00
43024.00,51.41,43544.00
43025.00,51.11,43544.00
43026.00,51.32,43544.00
43027.00,50.85,43544.00
43028.00,51.02,43544.00
43031.00,50.9,43544.00
43032.00,51.4,43544.00
43033.00,51.35,43544.00
43034.00,51.53,43544.00
43035.00,52.1,43544.00
43038.00,52.2,43544.00
43039.00,52.12,43544.00
43040.00,51.81,43544.00
43041.00,52,43544.00
43042.00,52.65,43544.00
43045.00,53.63,43544.00
