t,Value,Expiry
42299.00,62.46,43553.00
42300.00,61.98,43553.00
42303.00,61.84,43553.00
42304.00,61.36,43553.00
42305.00,62.85,43553.00
42306.00,62.55,43553.00
42307.00,63.13,43553.00
42310.00,62.85,43553.00
42311.00,63.74,43553.00
42312.00,62.50,43553.00
42313.00,61.79,43553.00
42314.00,61.41,43553.00
42317.00,61.41,43553.00
42318.00,61.68,43553.00
42319.00,60.73,43553.00
42320.00,60.30,43553.00
42321.00,60.06,43553.00
42324.00,60.19,43553.00
42325.00,59.21,43553.00
42326.00,59.44,43553.00
42327.00,59.06,43553.00
42328.00,58.95,43553.00
42331.00,59.16,43553.00
42332.00,60.45,43553.00
42333.00,60.70,43553.00
42334.00,60.24,43553.00
42335.00,59.55,43553.00
42338.00,59.11,43553.00
42339.00,59.09,43553.00
42340.00,58.60,43553.00
42341.00,59.25,43553.00
42342.00,59.00,43553.00
42345.00,57.95,43553.00
42346.00,57.83,43553.00
42347.00,57.92,43553.00
42348.00,57.89,43553.00
42349.00,57.08,43553.00
42352.00,56.06,43553.00
42353.00,56.15,43553.00
42354.00,55.38,43553.00
42355.00,55.09,43553.00
42356.00,54.78,43553.00
42359.00,54.04,43553.00
42360.00,53.15,43553.00
42361.00,53.67,43553.00
42362.00,54.35,43553.00
42366.00,53.81,43553.00
42367.00,54.69,43553.00
42368.00,53.87,43553.00
42369.00,54.53,43553.00
42373.00,54.18,43553.00
42374.00,53.39,43553.00
42375.00,51.94,43553.00
42376.00,51.11,43553.00
42377.00,50.91,43553.00
42380.00,49.24,43553.00
42381.00,47.89,43553.00
42382.00,46.84,43553.00
42383.00,47.19,43553.00
42384.00,45.08,43553.00
42387.00,43.75,43553.00
42388.00,43.88,43553.00
42389.00,43.51,43553.00
42390.00,43.68,43553.00
42391.00,46.43,43553.00
42394.00,46.18,43553.00
42395.00,47.15,43553.00
42396.00,47.91,43553.00
42397.00,48.12,43553.00
42398.00,49.44,43553.00
42401.00,48.42,43553.00
42402.00,47.34,43553.00
42403.00,48.25,43553.00
42404.00,48.37,43553.00
42405.00,48.12,43553.00
42408.00,47.70,43553.00
42409.00,45.13,43553.00
42410.00,45.46,43553.00
42411.00,45.47,43553.00
42412.00,47.98,43553.00
42415.00,47.72,43553.00
42416.00,46.62,43553.00
42417.00,48.07,43553.00
42418.00,47.92,43553.00
42419.00,47.03,43553.00
42422.00,48.19,43553.00
42423.00,47.21,43553.00
42424.00,47.80,43553.00
42425.00,47.86,43553.00
42426.00,46.96,43553.00
42429.00,47.89,43553.00
42430.00,48.05,43553.00
42431.00,47.86,43553.00
42432.00,47.59,43553.00
42433.00,48.48,43553.00
42436.00,50.19,43553.00
42437.00,49.48,43553.00
42438.00,50.39,43553.00
42439.00,50.06,43553.00
42440.00,50.33,43553.00
42443.00,49.54,43553.00
42444.00,49.25,43553.00
42445.00,50.06,43553.00
42446.00,50.22,43553.00
42447.00,50.20,43553.00
42450.00,50.57,43553.00
42451.00,51.12,43553.00
42452.00,50.25,43553.00
42453.00,50.20,43553.00
42457.00,49.98,43553.00
42458.00,49.94,43553.00
42459.00,50.57,43553.00
42460.00,50.80,43553.00
42461.00,49.35,43553.00
42464.00,48.24,43553.00
42465.00,47.74,43553.00
42466.00,48.87,43553.00
42467.00,47.90,43553.00
42468.00,49.69,43553.00
