t,Value,Expiry
42891,51.23,43553
42892,51.31,43553
42893,50.18,43553
42894,50.78,43553
42895,50.95,43553
42898,50.92,43553
42899,51.17,43553
42900,50.35,43553
42901,50.71,43553
42902,50.99,43553
42905,50.61,43553
42906,50.18,43553
42907,49.55,43553
42908,49.54,43553
42909,49.55,43553
42912,49.78,43553
42913,50.52,43553
42914,50.93,43553
42915,51.25,43553
42916,52.21,43553
42919,53.13,43553
42920,52.98,43553
42921,51.7,43553
42922,51.8,43553
42923,50.67,43553
42926,51.14,43553
42927,51.7,43553
42928,51.65,43553
42929,52,43553
42930,52.43,43553
42933,52.07,43553
42934,52.18,43553
42935,52.71,43553
42936,52.29,43553
42937,51.35,43553
42940,51.84,43553
42941,52.87,43553
42942,53.2,43553
42943,53.21,43553
42944,53.42,43553
42947,53.94,43553
42948,53.32,43553
42949,53.58,43553
42950,53.13,43553
42951,53.54,43553
42954,53.6,43553
42955,53.32,43553
42956,53.42,43553
42957,52.39,43553
42958,52.44,43553
42961,51.6,43553
42962,51.6,43553
42963,51.23,43553
42964,51.48,43553
42965,52.91,43553
42968,51.79,43553
42969,52.47,43553
42970,53.01,43553
42971,52.58,43553
42972,52.84,43553
42975,52.33,43553
42976,52.85,43553
42977,52.26,43553
42978,54.06,43553
42979,54.09,43553
42982,53.63,43553
42983,54.32,43553
42984,54.66,43553
42985,54.8,43553
42986,54.01,43553
42989,54.22,43553
42990,54.42,43553
42991,54.83,43553
42992,55.14,43553
42993,55.47,43553
42996,55.13,43553
42997,54.69,43553
42998,55.13,43553
42999,55.09,43553
43000,55.12,43553
43003,55.78,43553
43004,55.69,43553
43005,55.72,43553
43006,55.28,43553
43007,55.23,43553
43010,54.5,43553
43011,54.47,43553
43012,54.46,43553
43013,55.13,43553
43014,53.98,43553
43017,54.12,43553
43018,54.66,43553
43019,55.01,43553
43020,54.58,43553
43021,55.01,43553
43024,55.27,43553
43025,55.09,43553
43026,55.38,43553
43027,55.01,43553
43028,55.43,43553
43031,55.24,43553
43032,55.88,43553
43033,56.02,43553
43034,56.35,43553
43035,57.19,43553
43038,57.56,43553
43039,57.69,43553
43040,57.17,43553
43041,57.05,43553
43042,57.93,43553
43045,59.43,43553
43046,59.36,43553
43047,59.58,43553
43048,59.96,43553
43049,60.15,43553
43052,60.15,43553
43053,58.94,43553
43054,58.83,43553
43055,58.41,43553
43056,59,43553
43059,58.6,43553
43060,58.65,43553
43061,59.05,43553
43062,59.4,43553
43063,59.5,43553
43066,59.66,43553
43067,59.68,43553
43068,59.02,43553
43069,58.86,43553
43070,59.57,43553
43073,59.05,43553
